seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
10,17,2,2,0,0,0,0,0,1,
26,17,4,2,0,0,0,0,0,1,
27,17,6,2,0,0,0,1,0,1,
60,17,8,2,0,0,0,0,0,,
17,17,10,2,0,0,0,0,0,1,
42,17,12,2,0,0,0,0,0,0,
20,17,14,2,0,0,0,1,0,0,
15,17,16,2,0,1,0,1,0,0,
37,17,18,2,0,0,0,0,0,0,
23,17,20,2,0,0,0,0,0,1,
13,17,22,2,0,0,1,1,0,0,
25,17,24,2,0,0,0,0,0,1,
29,17,26,2,0,0,0,0,0,0,
33,17,28,2,0,0,0,0,0,1,
55,17,30,2,0,0,0,0,0,0,
14,17,32,2,0,0,1,1,0,0,
6,18,1,1,0,1,1,0,,1,
63,18,3,1,0,0,0,0,,1,
48,18,5,1,0,0,0,1,0,1,
22,18,7,1,0,0,0,1,0,1,
35,18,9,1,0,0,0,1,0,1,
14,18,11,1,0,1,0,0,1,1,
15,18,13,1,0,0,0,0,0,1,
53,18,15,1,0,0,0,,1,1,
27,18,17,1,0,1,0,0,0,1,
24,18,19,1,0,0,0,0,1,1,
33,18,21,1,0,0,0,0,0,1,
31,18,23,1,0,0,0,0,0,1,
20,18,25,1,0,0,0,0,0,1,
32,18,27,1,0,0,0,0,0,1,
21,18,29,1,0,0,0,0,1,0,
66,18,31,1,0,0,0,0,0,1,
42,18,2,2,0,0,0,0,1,0,
12,18,4,2,0,0,1,0,0,1,
59,18,6,2,0,1,1,0,0,0,
47,18,8,2,0,0,0,0,0,1,
16,18,10,2,0,0,1,0,1,1,
39,18,12,2,0,0,1,0,,1,
25,18,14,2,0,0,0,0,0,1,
65,18,16,2,0,1,0,0,1,1,
26,18,18,2,0,0,1,0,1,1,
34,18,20,2,0,0,0,0,0,1,
37,18,22,2,0,0,1,0,1,1,
55,18,24,2,,1,0,0,,1,
58,18,26,2,0,0,0,1,0,1,
51,18,28,2,0,0,0,0,1,1,
62,18,30,2,0,0,0,1,1,1,
18,18,32,2,0,1,0,1,0,1,
25,19,1,1,0,0,0,0,,1,
39,19,3,1,0,1,1,0,,1,
21,19,5,1,0,0,0,1,0,1,
34,19,7,1,0,1,1,0,1,1,
60,19,9,1,0,1,0,0,,1,
63,19,11,1,0,0,1,1,1,1,
20,19,13,1,0,0,0,0,,1,
48,19,15,1,0,0,1,0,1,0,
54,19,17,1,0,0,0,1,0,1,
64,19,19,1,,1,1,1,0,1,
37,19,21,1,0,0,1,0,0,1,
43,19,23,1,0,0,0,0,0,1,
36,19,25,1,0,1,0,0,,1,
6,19,27,1,0,0,1,1,1,1,
38,19,29,1,0,0,0,0,1,1,
33,19,31,1,0,0,0,0,0,1,
16,19,2,2,0,0,0,0,,1,
46,19,4,2,0,1,1,0,0,1,
9,19,6,2,0,0,0,0,0,,0
65,19,8,2,0,1,0,0,0,1,
7,19,10,2,0,1,0,1,1,1,
13,19,12,2,0,1,0,0,,1,
32,19,14,2,0,0,0,0,0,0,
24,19,16,2,0,1,,1,0,1,
12,19,18,2,0,0,0,0,0,1,
30,19,20,2,0,0,0,0,,1,
62,19,22,2,0,0,1,1,0,1,
29,19,24,2,,1,1,0,,1,
58,19,26,2,0,0,1,0,0,1,
11,19,28,2,0,1,1,0,1,1,
27,19,30,2,0,0,0,0,0,0,
45,19,32,2,0,0,1,0,0,1,
40,20,1,1,0,0,0,0,,1,
20,20,3,1,0,0,0,0,,1,
58,20,5,1,0,0,0,0,0,1,
16,20,7,1,0,0,1,0,1,1,
32,20,9,1,0,0,0,0,1,1,
56,20,11,1,0,0,1,0,1,1,
64,20,13,1,0,0,0,0,0,0,
45,20,15,1,0,0,1,1,1,1,
50,20,17,1,0,0,0,1,0,0,
34,20,19,1,0,0,1,0,0,0,
35,20,21,1,0,0,0,0,0,1,
53,20,23,1,0,0,0,0,0,1,
49,20,25,1,0,0,0,0,,1,
57,20,27,1,0,0,1,0,0,1,
61,20,29,1,0,0,0,0,0,0,
36,20,31,1,0,0,0,0,0,0,
6,20,2,2,0,0,,1,,1,
38,20,4,2,0,0,1,0,0,1,
23,20,6,2,0,0,0,0,0,,0
51,20,8,2,0,0,0,0,0,0,
47,20,10,2,0,1,0,0,0,0,
54,20,12,2,0,1,0,0,0,1,
12,20,14,2,0,1,0,0,0,1,
67,20,16,2,0,0,0,0,0,1,
5,20,18,2,0,0,0,1,0,1,
25,20,20,2,0,0,0,0,,1,
37,20,22,2,0,0,0,1,1,0,
28,20,24,2,0,0,0,0,,1,
60,20,26,2,0,0,0,0,0,1,
19,20,28,2,0,0,0,1,1,1,
63,20,30,2,0,0,0,0,0,0,
65,20,32,2,0,0,0,0,1,0,
25,21,1,1,0,1,0,0,,1,
47,21,3,1,0,,1,0,,1,
19,21,5,1,0,0,1,1,,1,
40,21,7,1,0,0,1,1,1,1,
51,21,9,1,0,0,0,0,,1,
66,21,11,1,0,0,1,0,0,1,
44,21,13,1,0,0,0,0,,1,
